1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5
0.22289,0.24822,0.26519,0.27191,0.27863,0.28453,0.29069,0.2954,0.30076,0.30601,0.31237,0.31487,0.31894,0.32285,0.32728,0.33057,0.3343,0.33764,0.34124,0.34375
0.22646,0.24468,0.26417,0.27068,0.27781,0.28288,0.2886,0.29292,0.29945,0.30277,0.30751,0.31188,0.31595,0.32027,0.32463,0.32742,0.33111,0.33407,0.33741,0.33976
0.22615,0.24676,0.2646,0.27008,0.27644,0.2816,0.28694,0.29163,0.29619,0.30065,0.30469,0.30925,0.31305,0.31686,0.32063,0.324,0.32871,0.33097,0.33443,0.33691
0.22789,0.24836,0.26349,0.27129,0.27474,0.2798,0.2847,0.28969,0.29431,0.2985,0.30279,0.30725,0.31099,0.31391,0.31803,0.32114,0.32486,0.32784,0.33104,0.33341
0.22928,0.25427,0.26293,0.26848,0.27707,0.27853,0.28355,0.28792,0.29187,0.29701,0.30064,0.30528,0.30822,0.31184,0.31506,0.31992,0.3225,0.32766,0.32833,0.33111
0.23171,0.25119,0.26295,0.26755,0.27354,0.27717,0.28203,0.28646,0.29076,0.29438,0.2987,0.30212,0.30596,0.31003,0.31311,0.31675,0.31958,0.3228,0.32679,0.32883
0.61591,0.86284,1.1648,1.1099,1.0634,1.0204,0.98359,0.94512,0.91452,0.88602,0.85875,0.83554,0.81104,0.79149,0.77167,0.75413,0.73695,0.72097,0.70537,0.69378
0.60294,0.77264,0.97045,0.94331,0.91796,0.8937,0.86691,0.8443,0.82189,0.80121,0.78457,0.76435,0.74837,0.73209,0.71617,0.70131,0.6872,0.67618,0.66286,0.65142
0.57914,0.70633,0.85093,0.83389,0.81806,0.80042,0.78285,0.76712,0.75288,0.73614,0.72169,0.70868,0.6941,0.68135,0.67053,0.65771,0.64626,0.63524,0.62623,0.61612
0.55645,0.65863,0.76483,0.7551,0.74412,0.73254,0.71906,0.70742,0.69655,0.68399,0.67342,0.6692,0.64984,0.64067,0.63028,0.62019,0.61144,0.60297,0.59525,0.58545
0.53163,0.62142,0.70164,0.69604,0.68634,0.67851,0.66879,0.65942,0.64995,0.63913,0.63127,0.6215,0.61404,0.60506,0.59909,0.5893,0.58139,0.57477,0.56763,0.56143
0.51118,0.57925,0.65159,0.64509,0.6402,0.63181,0.62527,0.61834,0.6111,0.60478,0.59654,0.58851,0.58258,0.57592,0.56799,0.56073,0.55476,0.54801,0.54175,0.53621
